symbol,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression,cluster2129,cluster0565
PPP2R2B,0.0,0.0,0.5080786977803451,0.5080786977803451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5080786977803451,0.0,0.0,0.0,0.0,0.6891917108946677,0.5080786977803451,0.5080786977803451,1,7
RASGRP1,0.0,0.0,0.3542863975454112,0.5744166681695164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542863975454112,0.0,0.0,0.0,0.0,0.3542863975454112,0.3542863975454112,0.5688624885712771,1,7
RGS6,0.0,0.0,0.5389925428951714,0.6690668065140374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5389925428951714,0.0,0.0,0.0,0.0,0.8523649915316276,0.5389925428951714,0.5389925428951714,1,7
RPTOR,0.0,0.0,0.4041914127537405,0.4041914127537405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041914127537405,0.0,0.0,0.0,0.0,0.4041914127537405,0.4041914127537405,0.4041914127537405,1,7
RSRC1,0.0,0.0,0.4162888923528333,0.4484056835714178,0.0,0.0,0.0,0.0,0.0,0.293157055974855,0.0,0.0,0.0,0.0,0.0,0.0,0.4162888923528333,0.0,0.0,0.0,0.0,0.4162888923528333,0.4162888923528333,0.4976464723518632,1,7
RTN1,0.0,0.0,0.490921370067862,0.490921370067862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490921370067862,0.0,0.0,0.0,0.0,0.6562085379481376,0.490921370067862,0.6628392437708371,1,7
SEMA6D,0.0,0.0,0.4909013680722817,0.0,0.0,0.0,0.0,0.0,0.0,0.5006548774026212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573272394275269,0.6876935441131875,0.0,0.6888225768442884,1,2
SHISA9,0.0,0.0,0.5296986604902187,0.6589610655602651,0.0,0.0,0.0,0.0,0.0,0.1105216165381289,0.0,0.0,0.0,0.0,0.0,0.0,0.5296986604902187,0.0,0.0,0.0,0.0,0.7066075591145501,0.5296986604902187,0.7598998415881686,1,7
SLC30A9,0.0,0.0,0.3752945079975922,0.4691181349969903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3752945079975922,0.0,0.0,0.0,0.0,0.3752945079975922,0.3752945079975922,0.5239614893057734,1,7
SLC39A8,0.0,0.0,0.5388135304700526,0.6019994167934142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3693111574211425,0.0,0.0,0.0,0.0,0.8503978824430846,0.3693111574211425,0.3693111574211425,1,7
SNAP91,0.0,0.0,0.5337896687368447,0.7300180501025599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5337896687368447,0.0,0.0,0.0,0.0,0.8348655194022968,0.5337896687368447,0.5337896687368447,1,7
SNX19,0.0,0.0,0.5495862990996297,0.5829238778759106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495862990996297,0.0,0.0,0.0,0.0,0.7668394820573695,0.5495862990996297,0.5495862990996297,1,7
SORCS3,0.0,0.0,0.6839354276235451,0.7602560067802039,0.0,0.0,0.0,0.0,0.0,0.5822173445234236,0.0,0.0,0.0,0.0,0.0,0.0,0.6839354276235451,0.0,0.0,0.0,0.0,0.8068469764866574,0.6839354276235451,0.8523344143425333,1,5
SOX5,0.0,0.0,0.6084802998987157,0.6642797759776933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3689161180084317,0.6084802998987157,0.0,0.0,0.0,0.0,0.6467555477307423,0.5232600877756698,0.7248364282356494,1,8
SPPL3,0.0,0.0,0.4336056109675968,0.456456190365971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4336056109675968,0.0,0.0,0.0,0.0,0.4336056109675968,0.4336056109675968,0.5593710063812618,1,7
