,0
IL7R,0.0009780413451094653
MAPK11,0.0009780413451094653
IL2RB,0.0009780413451094653
LCK,0.0009780413451094653
LAT,0.0009780413451094653
LEP,0.0009780413451094653
SCN9A,0.0009780413451094653
JAK2,0.0009780413451094653
CNTNAP1,0.0009780413451094653
ITPR1,0.0009780413451094653
ITK,0.0009780413451094653
ITGB8,0.0009780413451094653
ITGB7,0.0009780413451094653
ITGB6,0.0009780413451094653
RPS6KA3,0.0009780413451094653
ITGB5,0.0009780413451094653
ITGB4,0.0009780413451094653
ITGB3,0.0009780413451094653
ITGB2,0.0009780413451094653
ITGB1,0.0009780413451094653
LPP,0.0009780413451094653
ITGA6,0.0009780413451094653
LYN,0.0009780413451094653
PTPRF,0.0009780413451094653
PTPRJ,0.0009780413451094653
EPHB2,0.0009780413451094653
