,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
MigraineDisorder,4.558755179123192,3.9257339302285374,4.6585287727188,4.857724648748956,3.6598174097075256,3.3690694879753664,3.8796216657984863,3.0831875460489067,3.5451688158550985,4.445814873892867,0.0,3.03117126479819,5.5782389839827395,3.6866600911094176,3.6866600911094176,3.962065210167182,4.599920836291298,3.886687971470595,3.733175234703952,3.566473244964122,3.8698082923578534,3.9721076127223,4.661298322413948,4.900737632272312
MigraineWithAura,4.36555458497572,3.6106639747747273,4.440343599859163,4.67979332508583,3.2841865834303365,2.9207788871634524,3.496172439533022,2.5858007539168186,3.1087455047206576,4.120452214897564,3.03117126479819,0.0,5.420481392601863,3.2801479112687746,3.2801479112687746,3.6106881905530184,4.37867224899727,3.5432423546746015,3.4033933462731394,3.2097087137629914,3.5064397342894615,3.637775760552891,4.444069630376695,4.710065299879855
MS,6.058382146398415,5.667090222198393,6.205203531939079,6.256945068417773,5.440467343268357,5.266835316468371,5.587250542487542,5.088798743562602,5.369722052551356,5.93714606184283,5.5782389839827395,5.420481392601863,0.0,5.370882469910157,5.370882469910157,5.637205761650414,6.168107135996313,5.556987918595225,5.404263695190214,5.35540450013475,5.575438476704277,5.782162680251088,6.214943935559511,6.195964432372517
NarcolepsyCataplexy,4.403204690214574,3.60571703126162,4.466318594407471,4.683230078650502,3.323076016382939,2.9389029386843317,3.5126586952769703,2.6062553050286703,3.1529911346450126,4.130604374381315,3.6866600911094176,3.2801479112687746,5.370882469910157,0.0,0.0,3.624032805222468,4.405010915566011,3.625081846863332,3.4298080942220923,3.2262100370619664,3.516873715076389,3.989574005129196,4.470658450283805,4.754999597124357
Narcolepsy,4.403204690214574,3.60571703126162,4.466318594407471,4.683230078650502,3.323076016382939,2.9389029386843317,3.5126586952769703,2.6062553050286703,3.1529911346450126,4.130604374381315,3.6866600911094176,3.2801479112687746,5.370882469910157,0.0,0.0,3.624032805222468,4.405010915566011,3.625081846863332,3.4298080942220923,3.2262100370619664,3.516873715076389,3.989574005129196,4.470658450283805,4.754999597124357
NeuroticDisorder,4.638320448379125,3.9271972944280646,4.363672214885231,4.700267853452679,3.6464093902552692,3.2511450869753453,3.793686223798012,3.010390268987624,3.4944578926050416,3.8109549214181717,3.962065210167182,3.6106881905530184,5.637205761650414,3.624032805222468,3.624032805222468,0.0,4.300609125392592,3.9256975513262997,3.718640874794785,3.532722847437399,3.8275977071020373,4.0345105726682045,4.3681140757507775,4.005715181256108
OCD,5.26447100473901,4.62649299551377,1.286719049433743,3.755040243885499,4.3552613116931065,4.146541029411087,4.566986929218678,3.9178078952133766,4.2984719017176065,4.398529702567153,4.599920836291298,4.37867224899727,6.168107135996313,4.405010915566011,4.405010915566011,4.300609125392592,0.0,4.572436056960771,4.46712011146089,4.332049607551353,4.574789538194198,3.845877063851122,1.3018053385721382,3.806266721409437
PartialEpilepsy,4.599812026799348,3.8002193911853235,4.631305563913611,4.812264544003372,3.6119580362435957,3.263191248090129,3.761080310049349,3.008161298820209,3.472652750176215,4.3703922571236085,3.886687971470595,3.5432423546746015,5.556987918595225,3.625081846863332,3.625081846863332,3.9256975513262997,4.572436056960771,0.0,3.6100462193638516,3.525729491182756,3.824251590286908,4.1810225302575965,4.635713244977011,4.900703851226287
PD,4.146708394938531,3.6360258375851,4.527452939810002,4.696227318550103,3.4290693888977426,3.085457524778751,3.5573022916658577,2.770462843306153,2.8615838598395786,4.216593579838789,3.733175234703952,3.4033933462731394,5.404263695190214,3.4298080942220923,3.4298080942220923,3.718640874794785,4.46712011146089,3.6100462193638516,0.0,3.343250015188579,3.6442790641869576,3.20958888708154,4.530472479685104,4.775828954774556
ProgressiveSupranuclearPalsy,4.33020570034252,3.560432026150133,4.394375316556138,4.661875989084351,3.2506175878062904,2.856716817812604,3.407053172214586,2.5132145166102147,3.0765294711108253,4.077270262001872,3.566473244964122,3.2097087137629914,5.35540450013475,3.2262100370619664,3.2262100370619664,3.532722847437399,4.332049607551353,3.525729491182756,3.343250015188579,0.0,3.4532595150406706,3.9228844908343143,4.398786152460206,4.688732678333892
RestlessLeg,4.583548823868607,3.8300869175929044,4.452860188550676,4.783701274286131,3.5439249830121176,3.186490320186567,3.671676669694878,2.8825573350706546,3.38495541609871,4.072025984472787,3.8698082923578534,3.5064397342894615,5.575438476704277,3.516873715076389,3.516873715076389,3.8275977071020373,4.574789538194198,3.824251590286908,3.6442790641869576,3.4532595150406706,0.0,4.11698243060417,4.638034619491175,4.806303456644756
