symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
HSP90AB1	0.014298223289185147	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	1	0	1	1	1	0.9792799999999999	1	-0.8735153156907689	No data	0	-1	No data	-0.6719625	-1	-1
IL2	0.026675766652290035	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	1	1	0	0	0	-0.12533861221087728	-0.9039313606550076	0	No data	No data	No data	No data	No data
GIP	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	-0.12950614711398212	No data	0	No data	No data	No data	1	0.5
CDCP1	0.00302850158699964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.04904500000000027	No data	-0.31621171077307775	No data	0	No data	No data	No data	0.5	0
CPAMD8	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	-0.2932902688060013	-0.7478343859031513	0	No data	No data	0	0.5	0
PRMT5	0.0058594832738844554	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	0	1	1	0	0.8979599999999998	1	-0.9624921858720566	0	-1	No data	No data	No data	-1	-1
NR2C1	0.2442566900847783	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4017837080213571	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.3781100000000002	No data	-0.6511773286101271	0	0	No data	No data	-0.05058000000000007	-1	-1
IGHV3-49	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.6638649999999998	0.75	0
QKI	0.0393924901001349	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	1	No data	-0.5770993957074391	-0.9625587536979876	0	No data	-1	0	0.5	-1
GP1BA	0.0044349582562164215	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	0	0	0	0	0	No data	0.7256720150031257	0	0	No data	No data	0	0.5	0.5
