,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
MigraineDisorder,4.558755179123192,3.925733930228537,4.6585287727188,4.857724648748956,3.6598174097075247,3.3690694879753678,3.879621665798486,3.0831875460489075,3.5451688158551002,4.445814873892865,0.0,3.0311712647981905,5.578238983982738,3.6866600911094176,3.6866600911094176,3.9620652101671823,4.599920836291298,3.8805427530275045,3.733175234703953,3.566473244964122,3.8698082923578543,3.972107612722299,4.6612983224139475,4.900737632272311
MigraineWithAura,4.365554584975718,3.610663974774727,4.440343599859164,4.679793325085832,3.284186583430336,2.9207788871634524,3.496172439533022,2.5858007539168186,3.1087455047206576,4.120452214897564,3.0311712647981905,0.0,5.420481392601862,3.2801479112687746,3.2801479112687746,3.610688190553018,4.37867224899727,3.5365003965108714,3.403393346273139,3.2097087137629914,3.5064397342894615,3.6377757605528926,4.444069630376694,4.710065299879857
MS,6.058382146398411,5.667090222198392,6.205203531939078,6.256945068417773,5.440467343268356,5.26683531646837,5.58725054248754,5.088798743562601,5.369722052551355,5.93714606184283,5.578238983982738,5.420481392601862,0.0,5.370882469910155,5.370882469910155,5.637205761650412,6.168107135996313,5.552691544438199,5.404263695190215,5.355404500134749,5.575438476704277,5.782162680251088,6.2149439355595115,6.195964432372517
NarcolepsyCataplexy,4.403204690214572,3.605717031261619,4.466318594407472,4.683230078650504,3.3230760163829385,2.9389029386843317,3.5126586952769707,2.60625530502867,3.152991134645013,4.130604374381316,3.6866600911094176,3.2801479112687746,5.370882469910155,0.0,0.0,3.6240328052224666,4.405010915566011,3.618492374873769,3.4298080942220928,3.2262100370619664,3.5168737150763887,3.989574005129197,4.470658450283804,4.7549995971243595
Narcolepsy,4.403204690214572,3.605717031261619,4.466318594407472,4.683230078650504,3.3230760163829385,2.9389029386843317,3.5126586952769707,2.60625530502867,3.152991134645013,4.130604374381316,3.6866600911094176,3.2801479112687746,5.370882469910155,0.0,0.0,3.6240328052224666,4.405010915566011,3.618492374873769,3.4298080942220928,3.2262100370619664,3.5168737150763887,3.989574005129197,4.470658450283804,4.7549995971243595
NeuroticDisorder,4.638320448379125,3.927197294428063,4.3636722148852325,4.700267853452679,3.6464093902552674,3.251145086975345,3.793686223798011,3.0103902689876234,3.494457892605041,3.810954921418171,3.9620652101671823,3.610688190553018,5.637205761650412,3.6240328052224666,3.6240328052224666,0.0,4.300609125392592,3.9196134930692894,3.7186408747947843,3.532722847437398,3.827597707102037,4.0345105726682045,4.368114075750778,4.005715181256109
OCD,5.264471004739012,4.626492995513772,1.2867190494337428,3.7550402438854973,4.3552613116931065,4.146541029411087,4.566986929218678,3.917807895213375,4.298471901717606,4.398529702567152,4.599920836291298,4.37867224899727,6.168107135996313,4.405010915566011,4.405010915566011,4.300609125392592,0.0,4.567213610677357,4.467120111460889,4.332049607551354,4.574789538194197,3.845877063851122,1.3018053385721382,3.806266721409438
PartialEpilepsy,4.5946206973346655,3.793934117997108,4.626149575716148,4.8073026440795426,3.6053445780044675,3.2558694344485177,3.7547295201122597,3.0002171705196967,3.4657734768912354,4.364928080929571,3.8805427530275045,3.5365003965108714,5.552691544438199,3.618492374873769,3.618492374873769,3.9196134930692894,4.567213610677357,0.0,3.6034292523092133,3.5189539803125225,3.818005879244264,4.1753105356467985,4.6305621645991115,4.895831584902017
PD,4.146708394938529,3.6360258375850996,4.527452939810002,4.696227318550102,3.4290693888977426,3.085457524778751,3.5573022916658568,2.7704628433061536,2.8615838598395795,4.216593579838787,3.733175234703953,3.403393346273139,5.404263695190215,3.4298080942220928,3.4298080942220928,3.7186408747947843,4.467120111460889,3.6034292523092133,0.0,3.3432500151885782,3.6442790641869576,3.209588887081539,4.530472479685104,4.775828954774558
ProgressiveSupranuclearPalsy,4.330205700342519,3.5604320261501328,4.394375316556139,4.6618759890843515,3.2506175878062904,2.856716817812604,3.4070531722145856,2.5132145166102147,3.0765294711108258,4.077270262001872,3.566473244964122,3.2097087137629914,5.355404500134749,3.2262100370619664,3.2262100370619664,3.532722847437398,4.332049607551354,3.5189539803125225,3.3432500151885782,0.0,3.4532595150406706,3.9228844908343152,4.398786152460206,4.688732678333894
RestlessLeg,4.583548823868607,3.8300869175929035,4.452860188550677,4.783701274286132,3.5439249830121167,3.186490320186567,3.6716766696948775,2.8825573350706546,3.38495541609871,4.072025984472787,3.8698082923578543,3.5064397342894615,5.575438476704277,3.5168737150763887,3.5168737150763887,3.827597707102037,4.574789538194197,3.818005879244264,3.6442790641869576,3.4532595150406706,0.0,4.11698243060417,4.638034619491175,4.8063034566447564
Schizophrenia,4.850127453851797,4.201281553061964,3.8205452564325646,4.035456665289206,3.9792510286577065,3.6193437734503657,4.154832517006162,3.4588941350344458,3.8760360775814586,4.23478740424781,3.972107612722299,3.6377757605528926,5.782162680251088,3.989574005129197,3.989574005129197,4.0345105726682045,3.845877063851122,4.1753105356467985,3.209588887081539,3.9228844908343152,4.11698243060417,0.0,3.911766686267973,4.261603647066106
TouretteSyndrome,5.316864129913593,4.683954497265394,1.4432487299309664,3.732611839632426,4.42164838045507,4.216214928271492,4.630338590360096,3.991476483281097,4.36572176193644,4.464278745124666,4.6612983224139475,4.444069630376694,6.2149439355595115,4.470658450283804,4.470658450283804,4.368114075750778,1.3018053385721382,4.6305621645991115,4.530472479685104,4.398786152460206,4.638034619491175,3.911766686267973,0.0,3.8690719725199854
UnipolarDepression,5.5072146474886265,4.796414075983331,3.783360972391802,3.691806683434646,4.729973777449615,4.491086972801751,4.661058106054705,4.306720820166483,4.6536593054949105,4.417012994637708,4.900737632272311,4.710065299879857,6.195964432372517,4.7549995971243595,4.7549995971243595,4.005715181256109,3.806266721409438,4.895831584902017,4.775828954774558,4.688732678333894,4.8063034566447564,4.261603647066106,3.8690719725199854,0.0
