"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"4224","Mgat4b","NeuN vs pSyn",0.0923818709977708,0.482009011839849,0.569572511374972,"Mgat4b","NS or FC < 0.5",0.316944841935982
"4225","Mgat4c","NeuN vs pSyn",0.218178643346989,0.134595861052162,0.198186702184857,"Mgat4c","NS or FC < 0.5",0.870968294865716
"4226","Mgat5","NeuN vs pSyn",-0.214509671815178,0.134902925880894,0.19850943572213,"Mgat5","NS or FC < 0.5",-0.869978630905211
"4227","Mgat5b","NeuN vs pSyn",0.234295801383748,0.112846176332973,0.170781441066736,"Mgat5b","NS or FC < 0.5",0.947513151921831
"4228","Mgll","NeuN vs pSyn",-0.380400614366852,0.0123365996326445,0.0265700065985562,"Mgll","NS or FC < 0.5",-1.90880452946662
"4229","Mgmt","NeuN vs pSyn",0.569374575842472,0.00023523389212335,0.00105118286304283,"Mgmt","Enriched in pSyn FDR < 0.01",3.62850010563271
"4230","Mgrn1","NeuN vs pSyn",-0.359561411511241,0.00535102904362002,0.0133222781507597,"Mgrn1","NS or FC < 0.5",-2.2715626918122
"4231","Mgst3","NeuN vs pSyn",-0.399010801994866,0.00340642101883999,0.00918991158710638,"Mgst3","NS or FC < 0.5",-2.4677016761447
"4232","Mia2","NeuN vs pSyn",-0.238112910851701,0.0485366703925812,0.0839610984102951,"Mia2","NS or FC < 0.5",-1.3139300195106
"4233","Mia3","NeuN vs pSyn",-0.313259102917896,0.0155504869722589,0.0322170717253748,"Mia3","NS or FC < 0.5",-1.80825600624786
"4234","Mib1","NeuN vs pSyn",-0.168977715688,0.1832083692868,0.25595911806189,"Mib1","NS or FC < 0.5",-0.737054690864386
"4235","Mib2","NeuN vs pSyn",0.105369870479421,0.473020736361021,0.560637852947898,"Mib2","NS or FC < 0.5",0.325119820171772
"4236","Mical2","NeuN vs pSyn",-0.740139560209714,1.64591960740732e-08,3.87262595128259e-07,"Mical2","Enriched in NeuN FDR < 0.01",-7.78359138109947
"4237","Mical3","NeuN vs pSyn",-0.483803991237813,0.00133692773132577,0.00432239287832662,"Mical3","NS or FC < 0.5",-2.87389206823144
"4238","Micall1","NeuN vs pSyn",0.482372788473284,0.000986228055356968,0.00337521609096599,"Micall1","NS or FC < 0.5",3.00602264719789
