"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"1587","NKRF","NeuN vs pSyn",0.353904594953775,0.176066014150668,0.297146688482652,"NKRF","NS or FC < 0.5",0.754324467378987
"1588","DGCR2","NeuN vs pSyn",-0.466869464906053,0.0591766267514641,0.140730921502432,"DGCR2","NS or FC < 0.5",-1.22784979458226
"1589","BRD7","NeuN vs pSyn",0.452718081993647,0.0597053868907348,0.141584238391842,"BRD7","NS or FC < 0.5",1.22398648308541
"1590","OSBPL10","NeuN vs pSyn",0.528696163218293,0.026991659414379,0.0838105641238532,"OSBPL10","Enriched in pSyn P < 0.05",1.56877041472639
"1591","POLL","NeuN vs pSyn",0.294971552119224,0.179390804395478,0.301296682016307,"POLL","NS or FC < 0.5",0.746199822733712
"1592","LDHB","NeuN vs pSyn",-0.658334420517303,0.00419600354671029,0.0256867092564094,"LDHB","Enriched in NeuN FDR < 0.05",-2.37716415338695
"1593","DMXL2","NeuN vs pSyn",0.00851059710664907,0.970826288926475,0.981784469260036,"DMXL2","NS or FC < 0.5",0.0128584719557601
"1594","GOLGA7","NeuN vs pSyn",0.181117463298215,0.363890108482897,0.494207930374451,"GOLGA7","NS or FC < 0.5",0.439029749551662
"1595","CCK","NeuN vs pSyn",-0.665546433028803,0.0207416100870353,0.0711318135401079,"CCK","Enriched in NeuN P < 0.05",-1.68315753411988
"1596","RABEPK","NeuN vs pSyn",0.649948391609588,3.449545604138e-06,0.000192659361955785,"RABEPK","Enriched in pSyn FDR < 0.01",5.46223810916221
"1597","SAMD8","NeuN vs pSyn",0.153494620963346,0.388875547555229,0.516798297979376,"SAMD8","NS or FC < 0.5",0.410189364375565
"1598","ARL1","NeuN vs pSyn",0.171861383045717,0.277324773360178,0.409207475668363,"ARL1","NS or FC < 0.5",0.557011333259994
"1599","CPEB2","NeuN vs pSyn",0.500966371128474,0.0583368367960781,0.139376425911963,"CPEB2",NA,1.2340571233674
"1600","MAMLD1","NeuN vs pSyn",0.447717812854158,0.0324219021806107,0.094630991074608,"MAMLD1","NS or FC < 0.5",1.48916150884874
"1601","HDX","NeuN vs pSyn",0.518609366116478,0.0366035084608429,0.102716729615566,"HDX","Enriched in pSyn P < 0.05",1.43647728531166
"1602","PPP2R2A","NeuN vs pSyn",-0.059406088281331,0.771181006898684,0.8416353052069,"PPP2R2A","NS or FC < 0.5",-0.112843675034518
"1603","RIF1","NeuN vs pSyn",0.258023271423802,0.0492383931923928,0.124631965817472,"RIF1","NS or FC < 0.5",1.30769612793941
"1604","IFT27","NeuN vs pSyn",0.5116123913093,0.00115164130074942,0.0111585364838041,"IFT27","Enriched in pSyn FDR < 0.05",2.93868276862381
"1605","SRPRA","NeuN vs pSyn",-0.0794761959839356,0.640768268464835,0.740858701043964,"SRPRA","NS or FC < 0.5",-0.19329900312207
"1606","SLC4A10","NeuN vs pSyn",-0.205702509554828,0.577526191511478,0.689615823016829,"SLC4A10","NS or FC < 0.5",-0.238428315209026
"1607","STX3","NeuN vs pSyn",0.685587582769623,0.0253594530598978,0.0805452938582647,"STX3","Enriched in pSyn P < 0.05",1.59586011733722
"1608","SYNJ2","NeuN vs pSyn",0.36121830957633,0.0232119237152382,0.076142193136448,"SYNJ2","NS or FC < 0.5",1.63428886539105
"1609","BCAT1","NeuN vs pSyn",0.583908475927969,0.000118422653122456,0.00224405305694359,"BCAT1","Enriched in pSyn FDR < 0.01",3.9265652132799
"1610","SCAMP5","NeuN vs pSyn",-0.5061407030549,0.1594832344877,0.277794269124811,"SCAMP5",NA,-0.797284964971549
"1611","MINPP1","NeuN vs pSyn",0.647995579267567,0.000629331767552821,0.00718842301822286,"MINPP1","Enriched in pSyn FDR < 0.01",3.20112034528306
"1612","SUFU","NeuN vs pSyn",0.646058226171066,0.000103183891955307,0.00202167354502281,"SUFU","Enriched in pSyn FDR < 0.01",3.98638809515978
"1613","PUDP","NeuN vs pSyn",0.547804412795375,0.0698860931772379,0.156371042512337,"PUDP",NA,1.1556092370908
"1614","ATP6AP1","NeuN vs pSyn",-0.316709617613325,0.213919410120724,0.3409154801646,"ATP6AP1","NS or FC < 0.5",-0.669749807640373
"1615","ATR","NeuN vs pSyn",0.35091058103228,0.0337428176034549,0.0973732484481817,"ATR","NS or FC < 0.5",1.47181865563718
"1616","HADH","NeuN vs pSyn",0.527013459888135,0.0558336886736015,0.135351058703959,"HADH",NA,1.25310367937378
"1617","PIGT","NeuN vs pSyn",-0.280336652010463,0.282019056072677,0.41393274765889,"PIGT","NS or FC < 0.5",-0.54972154534163
"1618","ASTN2","NeuN vs pSyn",0.526791823742878,0.00027924593441576,0.00410913518789905,"ASTN2","Enriched in pSyn FDR < 0.01",3.55401314112607
"1619","CTTN","NeuN vs pSyn",-0.3609251518281,0.117535260426863,0.224250393729248,"CTTN","NS or FC < 0.5",-0.929831826059607
"1620","CLTA","NeuN vs pSyn",-0.215117713288315,0.466053168951926,0.589884098118604,"CLTA","NS or FC < 0.5",-0.331564534672166
"1621","SEZ6L","NeuN vs pSyn",-0.504155438337644,0.134328328435456,0.24623997290566,"SEZ6L",NA,-0.871832389521652
"1622","GNL3L","NeuN vs pSyn",0.694217331176031,0.00370851678522107,0.0234881832619193,"GNL3L","Enriched in pSyn FDR < 0.05",2.43079975097539
"1623","PRMT7","NeuN vs pSyn",-0.00207842488881912,0.987695067759484,0.992651365256656,"PRMT7","NS or FC < 0.5",-0.00537711495690689
"1624","PHF8","NeuN vs pSyn",0.57511740234127,0.00681614616318992,0.0350768722888083,"PHF8","Enriched in pSyn FDR < 0.05",2.16646110527389
"1625","FBXL20","NeuN vs pSyn",0.133623631705778,0.313600293766614,0.445979122441503,"FBXL20","NS or FC < 0.5",0.503623539159922
"1626","FAM219A","NeuN vs pSyn",0.303038090012489,0.335916688587526,0.467511236009922,"FAM219A","NS or FC < 0.5",0.47376841955389
"1627","WDR44","NeuN vs pSyn",0.334242894630401,0.0202379584337365,0.0701881776163581,"WDR44","NS or FC < 0.5",1.69383330041339
"1628","PACSIN2","NeuN vs pSyn",-0.174456280991477,0.174746083675926,0.295919639477469,"PACSIN2","NS or FC < 0.5",-0.757592548669512
"1629","MARF1","NeuN vs pSyn",-0.213666521748314,0.282796742373405,0.41472033779261,"MARF1","NS or FC < 0.5",-0.548525597624087
"1630","NDUFA2","NeuN vs pSyn",0.243022811416734,0.462929998501567,0.586919356885609,"NDUFA2","NS or FC < 0.5",0.334484675424654
"1631","ADD2","NeuN vs pSyn",-0.322696547591942,0.200402012010075,0.325402625127176,"ADD2","NS or FC < 0.5",-0.698097922522923
"1632","CLDN12","NeuN vs pSyn",0.717676163024741,0.00311720421175213,0.0212857416931315,"CLDN12","Enriched in pSyn FDR < 0.05",2.5062347456436
"1633","ARHGDIA","NeuN vs pSyn",-0.532305240385579,0.00783429570749583,0.0386590805393985,"ARHGDIA","Enriched in NeuN FDR < 0.05",-2.10600003992244
"1634","NIT1","NeuN vs pSyn",0.321315707244925,0.0735895337343572,0.162085423725789,"NIT1","NS or FC < 0.5",1.13318394876898
"1635","BAK1","NeuN vs pSyn",0.408495793581029,0.0347511760919079,0.0992017476158314,"BAK1","NS or FC < 0.5",1.45903049289883
"1636","DNAJC19","NeuN vs pSyn",0.510241080337479,0.0742942374201152,0.162886754027635,"DNAJC19",NA,1.12904487067686
"1637","IFT80","NeuN vs pSyn",0.130101310530048,0.279570543030825,0.411462395723498,"IFT80","NS or FC < 0.5",0.55350858998326
"1638","YJEFN3","NeuN vs pSyn",0.220057633117387,0.198573331257562,0.323532718724435,"YJEFN3","NS or FC < 0.5",0.702079078425696
"1639","TAF6","NeuN vs pSyn",-0.344642345510596,0.0692112590716265,0.155224521323353,"TAF6","NS or FC < 0.5",-1.15982325012515
"1640","ZNF674","NeuN vs pSyn",0.646944846927658,2.92560607378916e-06,0.000172350259182607,"ZNF674","Enriched in pSyn FDR < 0.01",5.53378415103945
"1641","PRR36","NeuN vs pSyn",0.508131924323041,0.0176125484972685,0.0642977629987294,"PRR36","Enriched in pSyn P < 0.05",1.75417779802356
"1642","ALS2CL","NeuN vs pSyn",0.462312636786146,0.05828344091203,0.139364991738774,"ALS2CL","NS or FC < 0.5",1.23445481645945
"1643","COL11A1","NeuN vs pSyn",0.313487821338194,0.109312734400901,0.214697939979954,"COL11A1","NS or FC < 0.5",0.961329241912218
"1644","RALGPS1","NeuN vs pSyn",-0.210372206738708,0.172601052036112,0.29375523181513,"RALGPS1","NS or FC < 0.5",-0.762956561505597
"1645","DHX35","NeuN vs pSyn",0.305942288043548,0.0469942843832558,0.120981095474523,"DHX35","NS or FC < 0.5",1.32795495933572
"1646","CNOT4","NeuN vs pSyn",0.423313073847435,0.00575276170111685,0.031596106891,"CNOT4","NS or FC < 0.5",2.24012361555098
"1647","PLEKHA5","NeuN vs pSyn",0.114870166145844,0.324608799299273,0.457098933001482,"PLEKHA5","NS or FC < 0.5",0.488639711757713
"1648","PDYN","NeuN vs pSyn",0.704124413822578,0.00935989538752739,0.0429357121216657,"PDYN","Enriched in pSyn FDR < 0.05",2.02872900520137
"1649","FAM193B","NeuN vs pSyn",-0.101008936399854,0.496957679790269,0.617767452504135,"FAM193B","NS or FC < 0.5",-0.303680593592865
"1650","GSTO1","NeuN vs pSyn",-0.466114915677642,0.128037399232797,0.238520613125686,"GSTO1","NS or FC < 0.5",-0.892663156070518
"1651","SRSF10","NeuN vs pSyn",-0.203612955547379,0.16872250841509,0.289368353913896,"SRSF10","NS or FC < 0.5",-0.772826976519318
"1652","GSTO2","NeuN vs pSyn",0.537481594767494,0.0091479591262823,0.0424402247555431,"GSTO2","Enriched in pSyn FDR < 0.05",2.03867578451891
