,0
SEMA3B,0.00195995853969365
PIK3CA,0.00195944887726672
ERBB4,0.0019426938676535559
SLURP1,0.0019175263587431228
EDN1,0.0018948489342782676
IL12A,0.0018464858395822264
CXCL12,0.00183693503347944
SLURP2,0.0018030029088497053
CNTN1,0.001795558134275814
SEMA3A,0.0017943509321560467
STAT6,0.0017707053107346511
FSTL5,0.0017664573153087038
ADO,0.001765696147065499
GFRA2,0.001765696147065499
LCK,0.00174674499714959
DCC,0.0017078438047319643
CD8B,0.001699774756669624
SEMA6D,0.00169457661148598
APP,0.0016635230346327948
HP,0.0016474252548870786
IAPP,0.001641411177941518
CSF2,0.0016287574769219585
DKK1,0.0016283871290283267
NOTCH3,0.001627384889430008
FGF23,0.0015943588840586149
FGF20,0.0015943588840586149
AGT,0.0015818045575997186
INS,0.0015801351044206146
LEP,0.0015718594105401651
EGFR,0.0015684028380621615
NR0B2,0.0015438010578134743
NRG1,0.0015421514359413007
CALCB,0.0015128410541434595
FGF6,0.0014932269032309664
MAP3K14,0.0014908814096221443
VTN,0.00149028125476656
BDNF,0.0014702911969627557
BMP3,0.00145879200772278
IGF1,0.001443751307165045
PMCH,0.0014398903723735147
NMB,0.0014233149104513469
PDGFB,0.0014219557060289685
TNFSF14,0.0014204689153027483
NOTCH4,0.0014192162269218113
PRKD1,0.0014189095677470142
IL6,0.0014053530746084052
KIT,0.001386545428645123
FSHB,0.0013676282858257405
SERPINF1,0.0013531124090031014
FGF7,0.0013511904543138966
CSF3R,0.0013446778609419814
THBS1,0.0013377999796826095
COL27A1,0.0013369410027077298
PDCD1,0.0013293197394606364
TGFBR2,0.0013277623044345484
PTCH1,0.0013226605895107527
PLCG1,0.001321575422562294
CD28,0.0013177798055650223
CDH5,0.001316259423183033
DAG1,0.0013075846294238328
FGF13,0.00129722553408052
WNT5A,0.0012900398382280458
FGFR4,0.0012805550903935798
NLGN1,0.0012793331542502381
ADCY1,0.0012790540903932952
NTN1,0.001278295675016632
CSF2RB,0.00127515131172079
IL4,0.0012751291394498066
IL1B,0.0012746490318390953
IL2RA,0.0012572497951536031
ITGB1,0.001255554959839536
IL20RA,0.0012537571845526354
IL21,0.001241676159875669
DSCAM,0.0012408421958637263
PTPN11,0.0012269803969582353
SPP1,0.0012110865127222448
IL7,0.0012024628833636401
PIK3CG,0.001193675185308165
GRIA1,0.001181718526322081
PTPRD,0.001170644408205012
FGF2,0.0011676212771805433
SV2C,0.0011516898945752134
CD47,0.0011217106364980554
HCRT,0.0010970828505080714
FLRT3,0.00109176902882026
JAK2,0.001087355636003261
STAB1,0.0010809336738371949
NPBWR2,0.0010809336738371949
NMUR2,0.0010809336738371949
EPHA1,0.0010772793707657853
CD40,0.0010736676395726491
FGF14,0.0010654080673198744
FGF12,0.0010654080673198744
FGF11,0.0010654080673198744
GRN,0.0010637520875621954
UNC5A,0.001053710037700511
CD69,0.0010460326280384035
CCL5,0.00104577430325176
BTN1A1,0.0010453505152753185
EDNRA,0.0010424412728278355
KL,0.0010419815999713807
ROBO2,0.0010277610705148683
PTPRG,0.0010271021617254243
SRC,0.0010230312315488085
NOTCH1,0.0010120517488458637
SOS1,0.0010044411694896424
IGF1R,0.0010019651034764905
IL1A,0.0010004488008572457
TACR3,0.000999089915276826
CXCL9,0.0009978870884912
MET,0.0009877151401843367
PDGFRA,0.0009865190022517172
VIP,0.000982610278391369
TGFBR3,0.000979037863972706
LRP6,0.0009774138097683185
CCN2,0.0009754986427932776
NOS1,0.000973745470950763
PTPRK,0.000969644566338617
THBS2,0.0009607953367762837
EFNB1,0.00095949100072388
OPRD1,0.0009568001433173303
LILRB1,0.0009505328735103674
POMC,0.0009458626393102308
LTBR,0.0009430789644125324
EPHA5,0.0009413694566234195
OSM,0.0009395707451628538
PRLR,0.0009378049357876414
MPL,0.0009374306724673001
LGI1,0.000935734177231271
CDH11,0.0009262606734515189
VWF,0.0009232818908091367
